🗣️🌍	Part of Speech	English									简体中文									繁體中文									हिंदी									Русский									Português									Deutsch								
👄	irregular	uta	Serbo-Croatian уста usta ‘mouth’	mouth	kiss	mouth, lips, oral cavity, jaw	genitive				uta	Serbo-Croatian уста usta ‘mouth’	嘴	亲吻	嘴巴、嘴唇、口腔、下巴	嘴的（属格）				uta	Serbo-Croatian уста usta ‘mouth’	嘴	親吻	嘴巴、嘴唇、口腔、下巴	嘴的（屬格）				ऊता	सर्ब-क्रोएशियन уста usta उस्ता ‘मूँह’	मूँह	चूमना	मूँह, होंठ, लभ	मूँह का				ута	Сербо-хорватский уста usta ‘рот’	рот	целовать	рот, губы, полость рта, челюсть	оральный				uta	Servo-croata уста usta ‘boca’	boca	beijar	boca, lábios, cavidade oral, mandíbula	genitivo				uta	Serbokroatisch уста usta ‘Mund’	Mund 	küssen	Mund, Lippen, Mundhöhle, Kiefer	Genitiv			
⚔️	modifier	utala	Serbo-Croatian ударати udarati ‘strike, hit, hurt’	fight			violent, bellicose				utala	Serbo-Croatian ударати udarati ‘strike, hit, hurt’	好战的			暴力的、好战的				utala	Serbo-Croatian ударати udarati ‘strike, hit, hurt’	好戰的			暴力的、好戰的				ऊताला	सर्ब-क्रोएशियन ударати udarati उदाराती ‘मारना’	लड़ाकू			लड़ाकू, लड़ाई कर रहा				утала	Сербо-хорватский ударати udarati ‘ударять, повреждать, наносить удар’	война	сражаться	война, битва, поединок	жестокий, воинственный				utala	Servo-croata ударати udarati ‘atingir, machucar’	bélico			violento, belicoso				utala	Serbokroatisch ударати udarati ‘schlagen, verletzen’	Kampf			gewalttätig, kriegerisch			
🥚	irregular	wa	Hawaiian hua 'egg, seed'	source	cause, be the reason of	origin, cause, source, root, spring	causative				wa	Hawaiian hua 'egg, seed'	导致	导致、成为……的原因	原因、起因、起源、源头、根源、源泉	使……（使役）				wa	Hawaiian hua 'egg, seed'	導致	導致、成為……的原因	原因、起因、起源、源頭、根源、源泉	使……（使役）				वा	हवाईअन hua हुआ 'बीज, अंडा'	वजह	की वजह होना, का कारण होना, मचाना	मूल, कारण, वजह, स्रोत, जड़	हेतुक, कौसेटिव				ва	Гавайский hua 'яйцо, семя'	источник	мотивировать, инициировать	происхождение, причина, источник, семя, корень, весна	причинный				wa	Havaiano hua 'ovo, semente'	fonte	causar, ser a razão de	origem, causa, fonte, raiz, nascente	causativo				wa	Hawaiianisch hua 'Ei, Samen'	Quelle	verursachen, der Grund sein von	Grund, Ursache, Quelle, Wurzel	kausativ			
😲	modifier	walaja	Arabic والله wallāh 'by God'	surprise			surprised, shocked				walaja	Arabic والله wallāh 'by God'	惊讶的			惊讶的、震惊的				walaja	Arabic والله wallāh 'by God'	驚訝的			驚訝的、震驚的				वालाया	अरबी والله वल्लाह 'हे भगवान, हाय राम, बाप रे वल्लाह'	चौंका			चौंका हुआ, आश्चर्यचकित				валая	Арабский والله wallāh 'от бога'	сюрприз		сюрприз, шок	поразителиный, изумительный, вдохновительный				walaja	Árabe والله wallāh 'por Deus'	surpreso			surpreso, chocado				walaja	Arabisch والله wallāh 'bei Gott	überrascht			überrascht, geschockt			
👯	noun	walala	Swahili walaal 'sibling'	sibling		brother, sister, sibling					walala	Swahili walaal 'sibling'	兄弟姐妹		兄弟、姐妹、兄弟姐妹					walala	Swahili walaal 'sibling'	兄弟姐妹		兄弟、姐妹、兄弟姐妹					वालाला	स्वाहिली walaal वलाल 'भाई बहन'	भाई बहन		भाई बहन					валала	Суахили walaal 'брат / сестра'	брат/сестра		брат, сестра					walala	Suaíle walaal 'irmã/o'	irmã/irmão		irmão, irmã					walala	Swahili walaal 'Geschwister'	Geschwister		Bruder, Schwester, Geschwister				
🧄	modifier	walo	Finnish valko- ‘white’	white			white, whitish, light-coloured, pale				walo	Finnish valko- ‘white’	白色的			白色的、发白的、浅色的、苍白的				walo	Finnish valko- ‘white’	白色的			白色的、發白的、淺色的、蒼白的				वालो	फ़िन्निश valko- वालको- ‘सफ़ेद’	सफ़ेद			सफ़ेद, गोरा, चमकदार, उजला				вало	Финский valko- ‘белый’	белый			белый, беловатый, светлый, бледный				walo	Finlandês valko- ‘branco’	branco			branco, esbranquiçado, de cor clara, pálido				walo	Finnisch valko- ‘weiß’	weiß			weiß, weißlich, hell, blass			
1️⃣	numeral	wan	English one	one						one	wan	English one	一						一、1	wan	English one	一						一、1	वां	अंग्रेज़ी one वन 'एक'	एक						एक	ван	Английский one 'один'	один						один	wan	Inglês one 'um'	um						um	wan	Englisch one 'eins'	eins						eins
🦅	noun	waso	French oiseau ‘bird’	bird		bird, flying creature, winged animal					waso	French oiseau ‘bird’	鸟		鸟、飞行的生物、有翼的动物					waso	French oiseau ‘bird’	鳥		鳥、飛行的生物、有翼的動物					वासो	फ्रेंच oiseau वसो ‘चिड़िया’	चिड़िया		चिड़िया, पक्षी, उड़ने वाला जानवर, पंखों वाला जानवर					васо	Французский oiseau ‘птица’	птица		птица, летающее существо, крылатое животное					waso	Francês oiseau ‘ave’	ave		ave, criatura voadora, animal alado					waso	Französisch oiseau ‘Vogel’	Vogel		Vogel, fliegende Kreatur				
🏋️	modifier	wawa	Finnish vahva ‘strong, powerful, thick’	strong			strong, powerful, energetic, intense				wawa	Finnish vahva ‘strong, powerful, thick’	强壮的			强壮的、有力的、精力充沛的、强烈的				wawa	Finnish vahva ‘strong, powerful, thick’	強壯的			強壯的、有力的、精力充沛的、強烈的				वावा	फ़िन्निश vahva वाह्वा ‘ताक़तवर, मज़बूत’	ताक़तवर			ताक़तवर, बलवान, शक्तिमान				вава	Финский vahva ‘сильный, мощный, плотный’	сила		сила, энергия	сильный, мощный, энергичный, интенсивный				wawa	Finlandês vahva ‘forte, poderoso, grosso’	forte			forte, poderoso, energético, intenso				wawa	Finnisch vahva ‘stark, kräftig’	stark			stark, kräftig, energisch, intensiv			
😝	modifier	wawasa	Chichewa (wo)wawasa 'sour'	sour			sour, acidic				wawasa	Chichewa (wo)wawasa 'sour'	酸的			酸的、酸性的				wawasa	Chichewa (wo)wawasa 'sour'	酸的			酸的、酸性的				वावासा	चिचेवा (wo)wawasa वावासा 'खट्टा'	खट्टा			खट्टा, तेज़ाब जैसा				ваваса	Ньянджа (wo)wawasa 'кислый'	кислый			кислый				wawasa	Chichewa (wo)wawasa 'azedo'	azedo			azedo, ácido				wawasa	Chichewa (wo)wawasa 'sour'	sauer			sauer			
🛫	modifier	weka	Dutch weg ‘away, gone’	away			absent, away, ignored, missing, removed				weka	Dutch weg ‘away, gone’	离开的			缺席的、离开的、忽略的、失踪的、移除的				weka	Dutch weg ‘away, gone’	離開的			缺席的、離開的、忽略的、失蹤的、移除的				वेका	डच weg वेग ‘दूर, गया हुआ’	निकला			छोड़ कर गया, छोड़ा हुआ, निकला हुआ, निकाला हुआ				века	Датский weg ‘прочь, уходить’	прочь	уходить, удалять, вычёркивать		отсутствующий, удаленный, утраченный, незаметный, непроявленный				weka	Neerlandês weg ‘ausente’	ausente			ausente, que foi embora, ignorado, desaparecido, removido				weka	Niederländisch weg ‘weg’	weg			abwesend, weg, ignoriert, vermisst, entfernt			
⭐	noun	wetu	Māori whetū ‘star’	star		star, celestial body					wetu	Māori whetū ‘star’	星星		星星、天体					wetu	Māori whetū ‘star’	星星		星星、天體					वेतू	माओरी whetū व्हेतू ‘तारा’	तारा		तारा, सितारा					вэту	Маори whetū ‘звезда’	звезда		звезда, небесное тело					wetu	Māori whetū ‘estrela’	estrela		estrela, corpo celeste					wetu	Māori whetū ‘star’	Stern		Stern, Himmelskörper				
⬆️	noun	wi	Korean 위 wi 'above'	up		area above, highest part, top, something elevated					wi	Korean 위 wi 'above'	上面		上面的区域、最高的部分、顶部、升高的东西					wi	Korean 위 wi 'above'	上面		上面的區域、最高的部分、頂部、升高的東西					वी	कोरियाई 위 वी 'ऊपर'	ऊपर		ऊपरी, ऊपरी तरफ़/दिशा/हिस्सा					ви	Корейский 위 wi 'выше'	вверх	подниматься, взлетать, восходить	верх, область сверху, верхняя часть, что-то приподнятое	верхний, высший, приподнятый				wi	Coreano 위 wi 'acima'	acima		área acima, parte mais alta, topo, algo elevado					wi	Koreanisch 위 wi 'über'	oben		oberer/höchster Teil, oben, hoch				
🐇	modifier	wiki	Hawaiian wikiwiki 'fast'	fast			fast, quick, quickly				wiki	Hawaiian wikiwiki 'fast'	快速的			快速的				wiki	Hawaiian wikiwiki 'fast'	快速的			快速的				वीकी	हवाईयन wikiwiki वीकीवीकी 'जल्दी'	जल्दी			जल्दी, तेज़, रफ़्ता				вики	Гавайский wikiwiki 'быстрый'	быстро			быстро, скорый, стремительный, расторопный				wiki	Havaiano wikiwiki 'rápido'	veloz			rápido, veloz				wiki	Hawaiianisch wikiwiki 'schnell'	schnell			schnell			
🤤	verb	wile	Dutch willen ‘want, desire'	want	to want, to wish, to desire	wish, desire					wile	Dutch willen ‘want, desire'	想要	想要、希望、渴望	愿望					wile	Dutch willen ‘want, desire'	想要	想要、希望、渴望	願望					वीले	डच willen वीलेन 'चाहना'	चाहना	चाहना, का ख्वाब देखना	चाहत, चाह, ख्वाब					вилэ	Датский willen ‘хотеть, желание'	хотеть	хотеть, желать, мечтать	желание, мечта					wile	Neerlandês willen ‘querer, desejar'	querer	querer, desejar	desejo					wile	Niederländisch willen ‘wollen'	wollen	wollen, wünschen	Wunsch, Begierde, Verlangen				
